MID,start,end,rt,self_sex,self_age,residence,participation,IOS_score,target_likedislike,target_sex,target_age,relationship,self_tolerance_score,self_pleasantness_score,self_responsibility_score,self_carefulness_score,self_activeness_score,self_sociability_score,target_tolerance_score,target_pleasantness_score,target_responsibility_score,target_carefulness_score,target_activeness_score,target_sociability_score,completion,stratumID
1,2023/05/19-12:49:32,2023/05/19-12:51:56,144.0,2,50,13,1,6,1,2,5,親友,1,7,3,7,3,7,7,7,3,5,7,7,COMP,6
2,2023/05/19-12:49:10,2023/05/19-12:52:07,177.0,1,40,7,1,5,2,2,3,妻,5,1,6,6,2,2,5,5,3,3,3,4,COMP,5
3,2023/05/19-12:49:28,2023/05/19-12:55:05,337.0,2,40,23,1,2,2,1,3,夫,1,7,1,3,1,2,1,7,2,7,7,2,COMP,2
4,2023/05/19-12:55:11,2023/05/19-12:57:07,116.0,1,48,39,1,1,3,2,4,部下,4,4,4,4,4,4,4,3,4,4,4,4,COMP,1
5,2023/05/19-12:54:24,2023/05/19-12:57:31,187.0,1,46,18,1,2,3,1,6,仲間,4,4,4,4,4,4,3,5,4,4,3,4,COMP,2
6,2023/05/19-12:55:54,2023/05/19-12:57:35,101.0,1,34,12,1,4,3,2,2,妻,4,3,3,3,3,3,4,3,3,4,4,4,COMP,4
7,2023/05/19-12:56:00,2023/05/19-12:58:11,131.0,1,45,14,1,5,1,2,4,妻,1,7,1,7,3,3,1,7,1,5,4,3,COMP,5
8,2023/05/19-12:57:23,2023/05/19-13:00:14,171.0,2,39,13,1,7,4,2,6,母,7,2,3,3,7,1,7,5,7,4,7,1,COMP,14
9,2023/05/19-12:55:51,2023/05/19-13:01:43,352.0,1,49,13,1,1,4,2,4,友人,3,4,2,5,3,5,3,2,2,4,3,5,COMP,8
10,2023/05/19-12:59:51,2023/05/19-13:02:03,132.0,2,53,38,1,5,1,1,5,夫,1,7,1,6,2,6,1,6,1,5,2,7,COMP,5
11,2023/05/19-12:51:48,2023/05/19-13:02:26,638.0,2,55,27,1,2,3,1,5,夫,4,4,4,4,4,4,4,4,4,4,4,2,COMP,2
12,2023/05/19-12:55:47,2023/05/19-13:02:38,411.0,1,53,40,1,5,2,2,5,嫁,3,6,2,7,4,3,3,3,3,3,3,3,COMP,5
13,2023/05/19-12:59:47,2023/05/19-13:02:55,188.0,2,39,1,1,6,2,2,1,娘,3,6,1,6,4,3,5,4,5,7,5,4,COMP,6
14,2023/05/19-13:00:27,2023/05/19-13:04:02,215.0,1,58,11,1,7,1,2,8,母,4,5,2,6,6,1,2,7,1,6,3,4,COMP,7
15,2023/05/19-13:01:29,2023/05/19-13:04:06,157.0,1,58,13,1,2,3,1,5,わからない,4,4,4,4,4,4,4,4,4,4,4,4,COMP,2
16,2023/05/19-13:01:44,2023/05/19-13:04:39,175.0,1,57,14,1,1,6,2,5,妻,4,3,3,2,7,2,7,1,7,1,5,4,COMP,8
17,2023/05/19-12:56:08,2023/05/19-13:06:05,597.0,2,36,11,1,3,2,1,3,友人,2,4,6,5,6,5,2,6,2,5,2,6,COMP,3
18,2023/05/19-13:03:13,2023/05/19-13:06:15,182.0,1,53,40,1,5,3,2,5,妻,5,3,5,4,2,1,2,5,6,3,6,2,COMP,5
19,2023/05/19-13:03:05,2023/05/19-13:06:23,198.0,1,49,6,1,1,3,1,4,母,4,4,4,4,4,4,4,6,4,4,4,4,COMP,1
20,2023/05/19-13:03:20,2023/05/19-13:06:32,192.0,2,51,22,1,1,4,2,5,他人,4,4,4,4,4,4,4,4,4,4,4,4,COMP,8
21,2023/05/19-13:03:56,2023/05/19-13:07:02,186.0,1,55,11,1,1,6,1,6,上司,1,7,1,7,1,7,7,1,7,1,1,1,COMP,8
23,2023/05/19-13:06:34,2023/05/19-13:09:45,191.0,1,40,13,1,1,3,4,7,母,6,2,1,7,7,1,3,3,3,3,2,6,COMP,1
24,2023/05/19-13:07:47,2023/05/19-13:10:09,142.0,2,45,1,1,1,3,1,4,友達,6,3,2,5,6,2,6,2,3,5,3,7,COMP,1
25,2023/05/19-13:08:19,2023/05/19-13:11:26,187.0,2,36,14,1,5,2,1,3,夫,4,5,2,6,6,5,4,6,2,6,3,5,COMP,5
26,2023/05/19-13:05:05,2023/05/19-13:11:41,396.0,2,49,28,1,6,1,2,1,娘,3,7,2,6,4,4,4,7,1,6,6,3,COMP,6
27,2023/05/19-13:10:07,2023/05/19-13:11:57,110.0,1,42,11,1,1,3,2,3,店員,3,3,3,3,3,3,3,3,3,3,3,3,COMP,1
28,2023/05/19-13:05:26,2023/05/19-13:13:17,471.0,1,43,23,1,4,3,2,4,妻,4,4,3,4,5,2,5,4,2,5,3,6,COMP,4
29,2023/05/19-13:11:29,2023/05/19-13:13:24,115.0,2,30,11,1,7,1,2,11,娘,4,4,4,4,4,4,5,4,4,5,4,4,COMP,7
30,2023/05/19-13:11:27,2023/05/19-13:13:55,148.0,2,34,23,1,6,1,1,3,夫,6,4,6,4,5,6,2,7,5,5,2,7,COMP,6
31,2023/05/19-13:11:48,2023/05/19-13:14:49,181.0,1,50,1,1,1,3,2,4,友人,4,5,5,5,5,4,4,4,5,5,6,3,COMP,1
32,2023/05/19-13:11:42,2023/05/19-13:15:00,198.0,2,47,14,1,3,1,1,5,彼,7,3,1,7,4,2,1,7,1,4,1,7,COMP,3
33,2023/05/19-13:13:52,2023/05/19-13:15:01,69.0,2,37,13,1,1,3,4,11,ない,4,4,4,5,5,4,4,4,4,4,4,4,COMP,1
34,2023/05/19-13:13:24,2023/05/19-13:16:47,203.0,1,55,39,1,1,3,2,6,上司,3,6,3,5,3,6,2,6,1,5,1,7,COMP,1
35,2023/05/19-13:06:44,2023/05/19-13:17:35,651.0,1,54,4,1,5,2,2,5,妻,1,7,1,7,1,5,1,7,1,7,1,7,COMP,5
36,2023/05/19-13:14:44,2023/05/19-13:17:36,172.0,1,56,11,1,7,2,2,5,妻,5,6,1,4,4,4,1,6,6,4,2,2,COMP,7
37,2023/05/19-13:14:09,2023/05/19-13:17:46,217.0,1,38,33,1,1,4,4,3,母,5,5,5,3,5,1,4,4,1,5,5,3,COMP,8
38,2023/05/19-13:14:44,2023/05/19-13:17:58,194.0,1,59,12,1,2,3,2,8,母,6,4,4,4,2,1,5,5,3,6,6,1,COMP,2
39,2023/05/19-13:13:54,2023/05/19-13:17:59,245.0,1,58,28,1,4,2,2,5,妻,2,7,1,6,3,6,4,6,2,6,3,6,COMP,4
40,2023/05/19-13:15:43,2023/05/19-13:18:25,162.0,1,51,23,1,3,3,2,4,妻,3,3,4,4,4,3,4,4,3,4,4,3,COMP,3
41,2023/05/19-13:09:15,2023/05/19-13:18:26,551.0,2,59,44,1,3,2,1,4,恋人,3,5,3,5,5,4,3,5,3,4,2,6,COMP,3
44,2023/05/19-13:10:34,2023/05/19-13:19:06,512.0,2,59,13,1,4,2,1,5,古くからの友人,4,6,1,6,2,5,6,6,2,6,6,6,COMP,4
45,2023/05/19-13:12:32,2023/05/19-13:19:21,409.0,1,52,13,1,2,3,2,3,友達,4,4,4,4,4,4,5,5,5,4,4,5,COMP,2
46,2023/05/19-13:13:18,2023/05/19-13:19:51,393.0,1,44,27,1,3,2,2,4,元カノ、元同僚,2,5,1,5,4,4,4,4,4,4,4,7,COMP,3
47,2023/05/19-13:16:12,2023/05/19-13:20:09,237.0,2,45,1,1,1,3,4,11,両親,4,4,3,5,5,3,4,5,2,5,3,5,COMP,1
48,2023/05/19-13:14:52,2023/05/19-13:20:11,319.0,1,27,8,1,5,2,2,2,友達,3,4,3,6,3,5,2,5,2,6,3,7,COMP,5
49,2023/05/19-13:16:26,2023/05/19-13:20:13,227.0,1,39,11,1,1,4,1,3,友人,6,1,7,4,7,1,7,1,7,2,4,4,COMP,8
50,2023/05/19-13:12:54,2023/05/19-13:20:44,470.0,1,46,13,1,3,1,2,3,妻,4,3,2,4,4,3,4,4,6,3,2,6,COMP,3
51,2023/05/19-13:14:04,2023/05/19-13:21:04,420.0,1,48,17,1,1,1,2,3,部下,2,6,1,5,1,6,2,6,2,5,3,6,COMP,1
52,2023/05/19-13:17:13,2023/05/19-13:21:06,233.0,2,55,22,1,6,2,2,5,夫,4,6,1,7,5,3,2,6,1,7,6,5,COMP,6
53,2023/05/19-13:17:55,2023/05/19-13:21:32,217.0,1,46,12,1,1,2,2,4,妻,3,5,2,5,3,2,2,6,2,5,3,2,COMP,1
55,2023/05/19-13:19:55,2023/05/19-13:22:23,148.0,1,49,13,1,4,2,2,3,妻,3,3,3,3,4,3,3,3,3,3,3,3,COMP,4
56,2023/05/19-13:19:22,2023/05/19-13:22:24,182.0,1,49,34,1,7,1,2,4,妻,1,6,1,5,1,6,5,4,4,4,4,5,COMP,7
57,2023/05/19-13:19:32,2023/05/19-13:22:32,180.0,1,52,26,1,1,6,4,11,意味不明,5,2,6,6,6,2,6,2,5,6,6,5,COMP,8
58,2023/05/19-13:17:25,2023/05/19-13:22:50,325.0,2,54,1,1,6,2,1,5,夫,7,3,6,7,5,1,3,6,4,2,3,3,COMP,6
59,2023/05/19-13:21:31,2023/05/19-13:23:36,125.0,1,59,12,1,3,3,2,5,妻,4,4,4,5,4,4,4,5,4,4,3,4,COMP,3
60,2023/05/19-13:21:07,2023/05/19-13:23:55,168.0,1,49,27,1,6,1,2,4,妻,2,5,2,7,6,2,1,7,3,4,1,7,COMP,6
61,2023/05/19-13:19:54,2023/05/19-13:23:58,244.0,1,51,27,1,4,2,2,4,元奥さん,4,6,3,5,5,6,2,2,2,6,6,3,COMP,4
62,2023/05/19-13:20:30,2023/05/19-13:23:58,208.0,1,45,12,1,1,1,2,2,片想い,5,3,1,7,7,1,1,4,1,7,7,1,COMP,1
63,2023/05/19-13:22:41,2023/05/19-13:24:52,131.0,1,54,20,1,2,2,2,5,妻,3,4,3,4,4,4,4,4,4,4,4,4,COMP,2
64,2023/05/19-13:19:03,2023/05/19-13:25:31,388.0,2,42,14,1,5,2,2,7,母,1,7,1,5,4,5,1,7,1,5,4,5,COMP,5
65,2023/05/19-13:21:18,2023/05/19-13:26:00,282.0,2,49,4,1,6,1,1,4,夫,5,4,3,5,4,4,3,5,2,5,3,4,COMP,6
66,2023/05/19-13:22:00,2023/05/19-13:26:44,284.0,2,47,34,1,6,1,1,5,旦那さん,4,5,4,5,6,3,3,5,2,5,4,4,COMP,6
67,2023/05/19-13:22:40,2023/05/19-13:28:08,328.0,2,41,11,1,1,4,1,4,夫,4,4,7,3,7,1,7,1,7,4,7,1,COMP,8
68,2023/05/19-13:26:31,2023/05/19-13:29:34,183.0,1,54,22,1,3,2,2,5,妻,4,6,2,4,3,3,3,6,3,5,5,5,COMP,3
69,2023/05/19-13:22:13,2023/05/19-13:29:58,465.0,2,55,45,1,6,2,1,5,夫,4,4,4,4,7,1,5,4,3,4,3,5,COMP,6
70,2023/05/19-13:25:23,2023/05/19-13:31:31,368.0,1,46,27,1,3,3,2,4,友人,7,2,5,6,7,2,5,6,2,5,3,5,COMP,3
71,2023/05/19-13:28:53,2023/05/19-13:32:55,242.0,2,56,13,1,6,2,1,5,夫,3,5,3,6,5,2,3,6,6,4,2,6,COMP,6
72,2023/05/19-13:27:00,2023/05/19-13:33:30,390.0,2,59,14,1,3,2,2,5,友人,7,3,2,6,7,1,2,7,2,5,2,7,COMP,3
73,2023/05/19-13:30:05,2023/05/19-13:34:37,272.0,1,58,12,1,5,2,2,8,母,4,6,7,6,5,1,4,6,4,4,4,6,COMP,5
74,2023/05/19-13:32:38,2023/05/19-13:35:06,148.0,2,32,28,1,7,1,2,7,母,5,3,4,5,5,3,3,6,1,7,5,3,COMP,7
75,2023/05/19-13:33:04,2023/05/19-13:35:12,128.0,2,36,28,1,4,3,1,3,夫,4,4,4,4,4,4,4,4,4,4,4,3,COMP,4
76,2023/05/19-13:30:13,2023/05/19-13:35:14,301.0,2,48,20,1,3,1,1,4,彼氏,1,7,2,4,7,1,4,7,2,4,1,7,COMP,3
77,2023/05/19-13:36:58,2023/05/19-13:38:28,90.0,2,48,17,1,5,4,2,4,夫,4,5,5,4,4,4,4,4,4,4,4,4,COMP,12
78,2023/05/19-13:31:05,2023/05/19-13:38:36,451.0,2,53,19,1,2,3,2,7,母,4,3,4,4,5,1,4,4,4,4,4,4,COMP,2
79,2023/05/19-13:36:51,2023/05/19-13:39:49,178.0,1,44,13,1,5,1,2,4,友人,1,7,1,6,1,7,1,7,1,7,7,7,COMP,5
80,2023/05/19-13:40:20,2023/05/19-13:42:53,153.0,1,52,10,1,1,5,4,11,近所のひと,3,3,3,4,4,3,3,3,4,4,4,3,COMP,8
82,2023/05/19-13:34:56,2023/05/19-13:43:26,510.0,2,44,14,1,7,1,1,4,夫,4,6,6,4,6,2,1,6,2,4,4,4,COMP,7
84,2023/05/19-13:41:55,2023/05/19-13:47:03,308.0,1,53,13,1,5,3,2,4,不明,3,3,3,3,3,3,3,5,3,5,5,3,COMP,5
85,2023/05/19-13:42:19,2023/05/19-13:47:55,336.0,1,56,23,1,5,1,2,5,妻,5,4,2,6,5,3,2,6,3,5,3,7,COMP,5
86,2023/05/19-13:39:07,2023/05/19-13:48:06,539.0,1,55,14,1,2,3,2,5,古い友人,4,6,1,5,3,4,4,5,3,5,4,4,COMP,2
87,2023/05/19-13:43:10,2023/05/19-13:48:07,297.0,1,26,37,1,2,1,2,2,彼女,2,6,3,6,4,6,2,7,2,7,7,3,COMP,2
89,2023/05/19-13:50:03,2023/05/19-13:53:29,206.0,1,58,14,1,2,3,2,8,母,3,5,3,5,3,5,3,5,5,5,3,5,COMP,2
